time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.000234989180716,0.00025167826614,9.98774395508,0.270941641578,0.213873493966,0.0,-0.0138868398843,0.0152343073144,-0.409637248095,1.21627439961,-1.19453676131,0.0,-296.185059983,21.2630213178,108.826084372,-317.347972176
0.12000000000000001,-0.00243193388252,0.00292357567326,9.95058772424,0.628034020304,0.370466557166,0.0,-0.0639024086945,0.0817911890855,-0.833611285902,2.46264362189,-2.4268877832,0.0,-304.614004619,19.2846953231,99.2084521532,-321.508904773
0.18,-0.00843607724095,0.0111950831208,9.88692205326,1.04144655459,0.450825201143,0.0,-0.138830618385,0.200671808733,-1.29641455398,3.66533102758,-3.6536309479,0.0,-312.31859836,13.1565785407,94.1935199001,-323.478032903
0.23999999999999996,-0.0192790265231,0.0278072940191,9.79377488177,1.47239676648,0.436620043852,0.0,-0.222778625509,0.357186632862,-1.81807989744,4.73034653658,-4.82533482147,0.0,-318.579281764,1.04368242547,91.5994591694,-319.202534216
0.3,-0.0349283838027,0.0543256472665,9.66728622766,1.89473230966,0.313527634783,0.0,-0.296049817863,0.527320921446,-2.4085542798,5.58170150253,-5.88758363582,0.0,-322.489911709,-16.3130813348,91.9501383346,-308.399778462
0.36000000000000004,-0.054102632288,0.0906152881462,9.50335416935,2.29983641939,0.07673131935,0.0,-0.337235247898,0.677800919404,-3.06472990334,6.17107254288,-6.78704682711,0.0,-323.290387483,-38.630545425,95.4775235905,-290.966950859
0.4200000000000001,-0.0744274797019,0.134434114532,9.29874833851,2.69222598944,6.01795786509,0.0,-0.333481179709,0.774434312613,-3.75918796547,6.47813193658,-7.47746442701,0.0,-320.608100035,-66.016069372,102.137745442,-266.757356701
0.48000000000000015,-0.0900404754941,0.180784222993,9.04337642695,5.20259214289,5.79798716581,0.0,-0.170251493939,0.619284255047,-4.69210332657,9.97794489001,-8.71110133514,0.0,-458.289883308,243.247564,-77.0336341349,-565.336195893
0.5400000000000001,-0.0942707016801,0.209498725235,8.7515344984,0.313757296906,5.7606907519,0.0,0.0228730905609,0.409623263849,-4.99143248182,12.0929033226,-10.4776641325,0.0,-479.047253626,124.447053561,-88.8286766817,-524.122208638
0.6000000000000002,-0.0860963985638,0.238344688998,8.4425796723,1.48979792817,5.15644362184,0.0,0.283712595128,0.578371523725,-5.34615946289,13.6663088565,-10.1544896494,0.0,-375.582983449,244.66143674,9.42462120124,-520.80076049
0.6600000000000003,-0.0558542326134,0.277747940346,8.10498149568,2.64913890866,4.54825882328,0.0,0.733966038,0.700904638085,-5.9220385734,15.0215933574,-10.1155253585,0.0,-398.891568523,248.530441914,-67.4101674397,-546.678323266
0.7200000000000003,-0.00100637114277,0.319661808533,7.73360480114,3.55100637031,3.95442494636,0.0,1.08351336148,0.701008787101,-6.42899796098,15.043646819,-10.4655850555,0.0,-393.686578579,165.04639626,-47.1284588843,-473.376939254
0.7800000000000004,0.0695069008032,0.365417268454,7.33397477598,4.53000318425,3.34627681609,0.0,1.24631358241,0.86227265907,-6.90626160538,14.3032554726,-10.8783926641,0.0,-385.111959077,91.5144385025,-23.8047664278,-399.374165924
0.8400000000000004,0.144987884591,0.423274553454,6.90010261242,5.5722723121,2.7036504537,0.0,1.25223880424,1.04295894566,-7.57858475985,13.1919100845,-11.1951739374,0.0,-375.450744649,12.4286341468,-1.32926631896,-327.775975949
0.9000000000000005,0.219254614729,0.486933212631,6.42476205854,0.339916669386,2.03129331769,0.0,1.21516345299,1.06742197431,-8.2759596789,11.8846776625,-11.2735755413,0.0,-365.404855359,-71.4340456724,23.2993241715,-251.198707093
0.9600000000000005,0.288601687162,0.548837492696,5.90894813807,1.62828302412,1.42240259038,0.0,1.08374724574,0.999817578076,-8.87260407391,9.96877411749,-10.6997520574,0.0,-342.754937189,199.668429935,131.55557471,-15.4643449555
1.0200000000000005,0.350238317774,0.609816100634,5.36172130719,2.25875899369,0.849655484427,0.0,0.971659198257,1.04169201541,-9.37828765875,9.46158716575,-10.117695333,0.0,-255.083707727,11.2464471788,57.5092662426,-244.490153806
1.0800000000000005,0.407293736707,0.672781830064,4.78302764308,2.93121419119,0.307174313242,0.0,0.946493920633,1.04310952947,-9.90083126579,8.60506838767,-9.55710103788,0.0,-239.917087122,-50.1781862377,83.5737581657,-162.299197611
1.1400000000000006,0.464830260329,0.735061408308,4.1767960417,3.57469516732,6.10243121189,0.0,0.963161047822,1.05399624501,-10.3012724573,7.66816208227,-8.9030277021,0.0,-223.096402609,-112.45427097,101.751208671,-93.9946460679
1.2000000000000006,0.523473618765,0.797523702254,3.53704675268,4.26607482704,5.85459007535,0.0,1.00367545956,1.00633392645,-11.0515102176,6.42774267072,-10.2751407111,0.0,-495.413569414,244.259041425,-216.43497969,-87.3011634434
1.2600000000000007,0.586310816052,0.855584437035,2.85040073769,4.71620376613,5.23896561403,0.0,1.10898834634,0.920567043843,-11.8380084038,6.98971634023,-10.241944302,0.0,-339.511303519,122.830633111,-62.6260670068,-295.99980388
1.3200000000000007,0.656652752652,0.908448573288,2.11697382304,5.13718584218,4.62831660208,0.0,1.23925155172,0.837619514686,-12.6037775429,7.04334527994,-10.1407934424,0.0,-314.406666502,68.5461471723,-39.699621722,-231.00166881
